id,name,region,latitude,longitude,ocean,location,description
02afa163-f80e-4252-802b-15b989bc8c91,Aow Leuk Bay,"Asia, Thailand, Southern Thailand, Surat Thani, Koh Tao",10.0739103946227,99.84752655029298,"Pacific Ocean, South China Sea, Gulf Of Thailand","Koh Tao, Surat Thani",
06c80284-8727-412c-a6b7-160f08adf32f,Tanote Bay,"Asia, Thailand, Southern Thailand, Surat Thani, Koh Tao",10.08388211724798,99.84872817993165,"Pacific Ocean, South China Sea, Gulf Of Thailand","Koh Tao, Surat Thani",
078f6a82-3af7-4eee-83c8-a70b2a37eeb4,Hin Wong Bay,"Asia, Thailand, Southern Thailand, Surat Thani, Koh Tao",10.10230364028968,99.85095977783205,"Pacific Ocean, South China Sea, Gulf Of Thailand","Koh Tao, Surat Thani",
17664037-04e5-4b55-ab35-72d0d3dd855b,Mv Trident,"Asia, Thailand, Southern Thailand, Surat Thani, Koh Tao",10.05977199143165,99.84544944658411,"Pacific Ocean, South China Sea, Gulf Of Thailand","Koh Tao, Surat Thani",
1b2b7acd-0121-4e0c-bf65-edca44493df4,Samran Pinnacle,"Asia, Thailand, Southern Thailand, Surat Thani, Koh Tao, Sai Daeng",10.05633237026328,99.83971595764162,"Pacific Ocean, South China Sea, Gulf Of Thailand","Sai Daeng, Koh Tao",
224279b6-5449-4b6b-9077-0b6c78a18662,Sairee Reef,"Asia, Thailand, Southern Thailand, Surat Thani, Koh Tao",10.09427604197423,99.82598304748535,"Pacific Ocean, South China Sea, Gulf Of Thailand","Koh Tao, Surat Thani",
23c605dd-c35c-4b1b-bc0f-6b1886695401,Htms Sattakut,"Asia, Thailand, Southern Thailand, Surat Thani, Koh Tao",10.10614836641623,99.81473922729494,"Pacific Ocean, South China Sea, Gulf Of Thailand","Koh Tao, Surat Thani",
36454b5d-3749-4bd1-9208-df16e022ca6d,Hin Wong Pinnacle,"Asia, Thailand, Southern Thailand, Surat Thani, Koh Tao",10.11066902952208,99.85482215881349,"Pacific Ocean, South China Sea, Gulf Of Thailand","Koh Tao, Surat Thani","This site features a stunning pinnacle rising from 18 meters to just below the surface, surrounded by vibrant coral gardens. Schools of barracuda and trevally patrol the area, while occasional whale sharks pass by. The current can be strong, making it ideal for drift diving. Visibility often exceeds 20 meters, showcasing the rich marine life. Soft corals and anemones cover the rock formations, attracting clownfish and butterflyfish. Best suited for intermediate divers due to occasional currents."
57436e14-1cf6-41f8-a9d3-c25f97b22579,White Rock,"Asia, Thailand, Southern Thailand, Surat Thani, Koh Tao",10.1108380250406,99.81508255004884,"Pacific Ocean, South China Sea, Gulf Of Thailand","Koh Tao, Surat Thani",
5903f5d8-dec0-4b9a-a6f2-3c75710e8618,Hin Pee Wee,"Asia, Thailand, Southern Thailand, Surat Thani, Koh Tao",10.1125279753368,99.80684280395509,"Pacific Ocean, South China Sea, Gulf Of Thailand","Koh Tao, Surat Thani",
6310627c-e5a0-4682-bc11-d6fe18e6734e,Mao Bay,"Asia, Thailand, Southern Thailand, Surat Thani, Koh Tao",10.09258599575652,99.85336303710939,"Pacific Ocean, South China Sea, Gulf Of Thailand","Koh Tao, Surat Thani",
643713fa-3ec2-426a-a677-3c4b6b6e6523,Hin Ngam Bay,"Asia, Thailand, Southern Thailand, Surat Thani, Koh Tao",10.06807932919172,99.84108924865724,"Pacific Ocean, South China Sea, Gulf Of Thailand","Koh Tao, Surat Thani",
6eb0ba48-7f25-4278-81ba-585136a6a95c,Lighthouse Bay,"Asia, Thailand, Southern Thailand, Surat Thani, Koh Tao",10.11979466029089,99.84366416931154,"Pacific Ocean, South China Sea, Gulf Of Thailand","Koh Tao, Surat Thani","This site features a shallow bay with gentle currents, ideal for beginners. The sandy bottom slopes to 12 meters, dotted with granite boulders covered in soft corals. Look for schools of batfish, barracuda, and occasional reef sharks. Visibility averages 10-15 meters. Night dives reveal octopus and crustaceans. Easy access from shore or boat."
7b06c471-c33b-4a0e-a26c-53184f6e566b,Laem Thien Pinnacle,"Asia, Thailand, Southern Thailand, Surat Thani, Koh Tao",10.09258599575652,99.86151695251466,"Pacific Ocean, South China Sea, Gulf Of Thailand","Koh Tao, Surat Thani",
7ebeb3e1-fd2c-4895-b429-3cde584bbf54,Sail Rock,"Asia, Thailand, Southern Thailand, Surat Thani, Koh Tao",9.943151011771802,99.99481201171876,"Pacific Ocean, South China Sea, Gulf Of Thailand","Koh Tao, Surat Thani",
