id,name,region,latitude,longitude,ocean,location,description
03341fe3-2bd4-4819-a2c5-a67795960f89,Zvirja ,"Europe, Croatia, Split-dalmatia, Hvar Island",43.23769967935207,16.54807090759278,"Atlantic Ocean, Mediterranean Sea, Adriatic Sea","Hvar Island, Split-Dalmatia",
060e1326-f5f5-4848-9865-b6e8d36476d9,Banjol Island Caves,"Europe, Croatia, Istria, Rovinj",45.07394489987296,13.61085891723633,"Europe, Croatia, Istria, Rovinj","Rovinj, Istria",
077700cc-4bb9-4687-8ede-772d1b9cfa41,Kabal,"Europe, Croatia, Split-dalmatia, Hvar Island",43.22018898644747,16.51373863220215,"Atlantic Ocean, Mediterranean Sea, Adriatic Sea","Hvar Island, Split-Dalmatia",
08ae1b4c-1556-49de-bb06-e0d722496e7a,Secrete Beach,"Europe, Croatia, Primorje-gorski Kotar, Krk Island, Vrbnik",45.07873313289988,14.67455863952637,"Europe, Croatia, Primorje-gorski Kotar, Krk Island, Vrbnik","Vrbnik, Krk Island",
08fec283-483b-401f-8707-1862c2aa701c,Selezine,"Europe, Croatia, Primorje-gorski Kotar, Cres Island, Merag",44.98152625810499,14.47002410888672,"Atlantic Ocean, Mediterranean Sea, Adriatic Sea","Merag, Cres Island",
0b6f8a25-e8b5-4a6b-a8eb-e4fc54b2366b,The Wall,"Europe, Croatia, Primorje-gorski Kotar, Plavnik Island",44.95483755262679,14.52469825744629,"Atlantic Ocean, Mediterranean Sea, Adriatic Sea","Plavnik Island, Primorje-Gorski Kotar",
0c0cff69-5c9e-4c92-b062-cdce745ecff2,Emmental,"Europe, Croatia, Dubrovnik-neretva, Korcula",42.92849397775189,16.63690567016602,"Atlantic Ocean, Mediterranean Sea, Adriatic Sea","Korcula, Dubrovnik-Neretva","This dive site near Korcula features stunning underwater topography with caves, swim-throughs, and dramatic drop-offs. The clear Adriatic waters reveal vibrant marine life, from octopus and moray eels to schools of damselfish. Strong currents attract larger pelagics, making it ideal for advanced divers. The rocky formations create interesting light play, perfect for photography. Visibility often exceeds 20 meters, enhancing the experience."
0d22262f-a097-4bf8-b398-1318b62bb141,Murvica,"Europe, Croatia, Split-dalmatia, Brac Island",43.25720566836321,16.58514976501465,"Atlantic Ocean, Mediterranean Sea, Adriatic Sea","Brac Island, Split-Dalmatia",
0d2ae3e4-1e6f-4210-bcef-0d002082e235,Drianda,"Europe, Croatia, Lika-senj, Pag Island",44.60343658642835,14.87074911773782,"Atlantic Ocean, Mediterranean Sea, Adriatic Sea","Pag Island, Lika-Senj",
0ddec2ad-f311-4c7a-99e3-fc091e43ee90,Sea Hare Garden,"Europe, Croatia, Dubrovnik-neretva, Korcula",42.95906077248951,16.67758941650391,"Atlantic Ocean, Mediterranean Sea, Adriatic Sea","Korcula, Dubrovnik-Neretva",
